BillNo,TeamName,RoomNo
15601,United ArAb ,A-201
15602,Free Thinkers,A-201
15603,Team Khudgarz,A-201
15604,System.exit,A-201
15605,Riddle Chasers,A-201
15606,AERODYNAMOS,A-201
15607,Code Fresher,A-201
15608,IT Creators ,A-201
15609,Suicidal Laterals,A-201
15610,Mangoes,A-201
15611,S Square,A-201
15612,Decoders,A-201
15613,FrostByte ,A-201
15614,Heleon ,A-201
15615,Awesomes,A-201
15616,Strivers,A-201
15617,Team Slack Attack,A-201
15618,Vortex,A-201
15619,GEKKO ,A-201
15620,3D,A-201
15621,Scythe,A-201
15622,Rush In Peace,A-201
15623,THE DECIDERS ,A-201
15624,Essence ,A-201
15625,The biharis,A-201
15626,Paris ,A-201
15627,TakeUForward,A-201
15628,Sunshine ,A-201
15629,Arithmancer ,A-201
15630,Splenders,A-201
15631,Code-Bros,A-204
15632,Aniket palit ,A-204
15633,THE BOYS,A-204
15634,Team Scorpio,A-204
15635,Hulk,A-204
15636,TechDuo,A-204
15637,Hustle Squad,A-204
15638,MAR-VELLS,A-204
15639,STARTERS,A-204
15640,Tech Titans,A-204
15641,The Mavericks,A-204
15642,Yellow Id,A-204
15643,moneyHeist,A-204
15644,PixelPulse,A-204
15645,BROWN MUNDE,A-204
15646,The Trigger,A-204
15647,B-Block,A-204
15648,Nodejs,A-204
15649,Innovators,A-204
15650,ARGHA KAMAL SAHA,A-204
15651,d_generstion x,A-204
15652,Team Zeno ,A-204
15653,Specialist,A-204
15654,R.S. ,A-204
15655,No doubt,A-204
15656,Unoptimized,A-204
15657,The legits,A-204
15658,Dynamic visionaries ,A-204
15659,Sutki chutki,A-204
15660,Gatherer's Guild,A-204
15661,TEAM_LUFTWAFFE,A-204
15662,Vision,A-204
15663,Tech Pirates ,A-204
15664,Coder Army ,A-204
15665,Detroit ,A-204
15666,Motu and patlu,A-204
15667,Snow Child,A-206
15668,Codes master,A-206
15669,Rulebreakers ,A-206
15670,Daemondefenders,A-206
15671,Unicorns,A-206
15672,Syntax Error,A-206
15673,Trixy Duos,A-206
15674,Anything ,A-206
15675,Binary Bros ,A-206
15676,Code Creaters,A-206
15677,Lazy Boys ,A-206
15678,Qietude,A-206
15679,Boyzz,A-206
15680,Team Nerd Network ,A-206
15681,Haikyuu,A-206
15682,Team DAMN,A-206
15683,MECHANICAL,A-206
15684,Loading...,A-206
15685,The Achievers ,A-206
15686,Tunak Tunak ,A-206
15687,Ninja,A-206
15688,AS Cracker,A-206
15689,TEAM B.R.,A-206
15690,Sampark..k2+,A-206
15691,ERROR 404 ,A-206
15692,Output US,A-206
15693,MIND BENDERS,A-206
15694,X-Treme ,A-206
15695,Ctrl_Alt_Del ,A-206
15696,Voyage,A-206
15697,BroCode,A-206
15698,Team Clove,A-206
15699,Sab Moah Maya Hai,A-206
15700,Fighters,A-206
15701,ACCESS DENIED ,A-206
15702,Nilaj Jana ,A-206
15703,Ape-x,A-206
15704,White star,A-206
15705,Dream Epic,A-206
15706,Straw hats,A-206
15707,SYNAPSE ,A-202
15708,AZALEA ,A-202
15709,TEAM CLOVE,A-202
15710,5G,A-202
15711,Asus,A-202
15712,Jai shree ram ,A-202
15713,The braindeds,A-202
15714,Masterminds,A-202
15715,TEAM AUTOMOBILE,A-202
15716,Youth Starts,A-202
15717,Believer,A-202
